id_verb,type,live_row,sentence,subject_nr,catalan,latin,animate,indefinite,affected,DOM,object,pp1,pp2,correctedness_perc,aff_diff,offline_diff,id_obj,correct,object_log,pp1_log,pp2_log,origin,post_target,post_target_log
5,0,83,Manuel abrazó a la señora en el parque en pocos instantes.,18,0,1,1,0,1,1,1.040031909942627,1.6872303485870361,1.9625358581542969,97.87234042553192,0,0.48,0,1,0.03925139531972011,0.523088337566313,0.6742374421784808,1,0.6564335823059082,-0.4209337597313451
15,3,86,Lucía destrozó la oponente en el bar en diez minutos.,18,0,1,1,0,1,0,0.15836429595947266,1.719658374786377,1.5008306503295898,97.87234042553192,0,-1.145,0,0,-1.8428572293054364,0.5421256517876883,0.4060187217222575,1,1.1731979846954346,0.1597333403353625
34,5,90,Carmen odió la música en el cine durante la película.,18,0,1,0,0,0,0,0.5644040107727051,1.4752681255340576,1.4942529201507568,97.87234042553192,0,0.48,2,1,-0.5719849527695051,0.3888397532948866,0.4016263629788124,1,0.46115899085998535,-0.774012412884187
43,2,91,Sofía conoció a la verdad en el colegio en dos días.,18,0,1,0,0,0,1,0.5443000793457031,1.7574551105499268,1.6053249835968018,97.87234042553192,0,-1.27,2,0,-0.6082545677663124,0.5638668027263766,0.4733262180770442,1,0.5736470222473145,-0.5557410156380819
28,1,92,Anna comprendió a una maestra en la escuela en dos minutos.,18,0,1,1,1,0,1,0.6485199928283691,1.5317463874816895,1.4475018978118896,97.87234042553192,0,0.98,1,1,-0.4330624463587262,0.42640851419531256,0.3698392415604506,1,0.4507014751434326,-0.7969500762857152
14,5,94,Helena derribó la barrera en el campo durante el partido.,18,0,1,0,0,1,0,0.5337660312652588,1.4571232795715332,1.5907909870147705,97.87234042553192,0,0.48,2,1,-0.6277976797329555,0.3764641355564903,0.46423136864184233,1,0.5177185535430908,-0.6583235173098734
24,3,99,Coral guió la turista en el palacio en una hora.,18,0,1,1,0,1,0,0.3768129348754883,1.0132784843444824,1.0258152484893799,97.87234042553192,0,-1.145,0,0,-0.976006408643311,0.013191097993456738,0.025487660835622965,1,0.3852419853210449,-0.9538836088372638
39,5,100,Valeria admiró la escenografía en el teatro durante el concierto.,18,0,1,0,0,0,0,0.6653470993041992,1.2355873584747314,1.3386564254760742,97.87234042553192,0,0.48,2,1,-0.40744642065590675,0.21154645092766897,0.29166644340027753,1,0.3360595703125,-1.0904668421366817
25,5,103,Pedro observó la planta en la oficina durante una hora.,18,0,1,0,0,0,0,0.42047810554504395,1.0300884246826172,1.4689865112304688,97.87234042553192,0,0.48,2,1,-0.8663628685940391,0.029644647763136626,0.38457271486943906,1,0.3043358325958252,-1.1896234748354657
9,2,104,Carlos quemó a la página en la plaza en pocos minutos.,18,0,1,0,0,1,1,0.5637543201446533,1.1792404651641846,1.1858468055725098,97.87234042553192,0,-1.27,2,0,-0.5731367249668449,0.16487055764111666,0.17045712323798953,1,0.31984853744506836,-1.1399077157240254
48,5,0,Samuel descubrió la tabla en el museo en pocas horas.,19,0,1,0,0,0,0,0.6002151966094971,2.6887881755828857,1.8630290031433105,97.87234042553192,-0.4500000000000002,1.2799999999999998,2,1,-0.5104670270536494,0.989090599763215,0.6222036594764309,1,0.9476954936981201,-0.053722037505031454
40,1,1,Adrián percibió a una mujer detrás de él durante algunos minutos.,19,0,1,1,1,0,1,0.8361396789550781,1.8766837120056152,2.2011537551879883,97.87234042553192,-0.4500000000000002,0.6549999999999998,1,1,-0.17895959976395273,0.6295062362161037,0.7889816570730855,1,0.7263343334197998,-0.31974485580919093
20,5,2,Claudia maltrató la camiseta en la casa durante varios años.,19,0,1,0,0,1,0,0.7122881412506104,1.9539289474487305,2.8218867778778076,97.87234042553192,0.4500000000000002,1.2799999999999998,2,1,-0.33927275666848195,0.6698421903436569,1.0374057313917993,1,0.6705961227416992,-0.3995882267417022
